0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
अनु क्रमांक,,
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,मोसडैक
3,मेटाडेटा दिनांक,"मार्च 05, 2015"
4,डेटा वंश या गुणवत्ता,रडार अल्टीमीटर का उपयोग करके अंतर्देशीय जल निकायों पर पानी की ऊंचाई का अनुमान
5,शीर्षक,भारतीय क्षेत्र में सैटेलाइट अल्टीमेट्री का उपयोग करके अंतर्देशीय जल निकायों की निगरानी
6,सार,"अंतर्देशीय जल निकाय? दो परीक्षण स्थलों, यानी उकाई जलाशय और ब्रह्मपुत्र नदी (भारतीय क्षेत्र के भीतर अपस्ट्रीम से डाउनस्ट्रीम स्थानों तक 10 साइट) पर सरल-अल्टिका और जेसन -2 डेटा का उपयोग करके ऊंचाई का अनुमान लगाया गया है। परिणाम जीपीएस फील्ड ट्रिप से एकत्र किए गए इन-सीटू डेटा और आईडब्ल्यूएआई और सीडब्ल्यूसी से एकत्र किए गए डेटा के साथ मेल खाते थे। पहले चरण में इन दोनों स्थलों के परिणाम यहां प्रस्तुत किए गए हैं। ऐसे 29 अंतर्देशीय जल निकायों (49 स्थानों) के साथ चरणबद्ध तरीके से किया जा रहा है"
7,डेटासेट संपर्क,"शार चंदर और डी गांगुली, पीएमडी/बीपीएसजी/ईपीएसए, प्रवीण गुप्ता और अमित दुबे, ईएचडी/बीपीएसजी/ईपीएसए सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 4138. ईमेल: pkgupta@sac.isro.gov.in; schander@sac.isro.gov.in"
8,आवृत्ति अद्यतन करें,अल्टीमीटर के अध्ययन क्षेत्र के ऊपर से गुजरने के लगभग वास्तविक समय (35 दिन की पुनरावृत्ति)
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,एन ए
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,अंतर्देशीय जल निकायों की निगरानी
13,कीवर्ड,"नदियाँ/जलाशय, सैटेलाइट अल्टीमेट्री, वेवफॉर्म रीट्रैकिंग, भूभौतिकीय रेंज सुधार, जल स्तर"
14,तिथि या अवधि,सरल-अल्टिका के शुभारंभ के बाद से (फरवरी 2013)
15,जिम्मेदार पार्टी,"डॉ. प्रकाश चौहान, जैविक और ग्रह विज्ञान समूह, ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,रिमोट सेंसिंग तकनीकों का उपयोग करके जल स्तर की पुनर्प्राप्ति
16b,व्यक्तिगत नाम,"डी. राम रजक, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6051. ईमेल: rajakdr@sac.isro.gov.in"
16c,स्थान,"वैज्ञानिक/इंजीनियर, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6051. ईमेल: rajakdr@sac.isro.gov.in"
16d,"लंबवत सीमा (न्यूनतम मान, अधिकतम मान, इकाईऑफ़ माप, लंबवत डेटा)",डिफ़ॉल्ट मान =NaN Unitofmeasurement= मीटर डेटा: WGS84
17,भौगोलिक विस्तार,"उल निर्देशांक: 40N, 65E। यूआर निर्देशांक: 40N, 100E। एलएल निर्देशांक: 5, 65ई। LR निर्देशांक: 5, 100E।"
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",भारतीय क्षेत्र
19,डिब्बा का सीमा,"उल निर्देशांक: 40N, 65E। यूआर निर्देशांक: 40N, 105E। एलएल निर्देशांक: 5, 65ई। LR निर्देशांक: 5, 105E।"
20,अस्थायी विस्तार,ऊँचाई मापक माप की उपलब्धता के बाद से अंतर्देशीय जल निकाय पर पानी की ऊंचाई का ऐतिहासिक समय श्रृंखला प्लॉट
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण सूचना,टेक्स्ट और पीएनजी प्रारूपों में ऑनलाइन डाउनलोड
23,प्रसंस्करण स्तर,स्तर 3 (अल्टीमीटर IGDR/GDR उत्पाद से प्राप्त डेटा उत्पाद)
24,संदर्भ प्रणाली,Datum: WGS84
