0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,मोसडैक
3,मेटाडेटा दिनांक,"अक्टूबर, 2016"
4,डेटा वंश या गुणवत्ता,"समुद्र की सतह की ऊंचाई, महत्वपूर्ण लहर ऊंचाई, तटीय क्षेत्रों में रडार अल्टीमीटर का उपयोग करके हवा की गति और तटीय क्षेत्र में प्राप्त पवन तरंग शक्ति।"
5,शीर्षक,सरल/अल्टिका तटीय उत्पाद (भारतीय क्षेत्र) और पवन तरंग विद्युत उत्पाद
6,सार,"SARAL, एक संयुक्त ISRO-CNES उपग्रह मिशन, 2013 में सफलतापूर्वक लॉन्च किया गया था। इसमें Ka बैंड सिंगल फ़्रीक्वेंसी सैटेलाइट अल्टीमीटर (AltiKa) है। सैटेलाइट अल्टीमीटर का इस्तेमाल मुख्य रूप से समुद्र के स्तर में बदलाव का अध्ययन करने के लिए किया जाता है। खुले समुद्र में, अल्टीमेट्रिक प्रतिध्वनि एक मानक आकार का अनुसरण करती है, जिसमें तेजी से बढ़ती हुई बढ़त होती है और उसके बाद धीरे-धीरे घटती शक्ति के साथ एक अनुगामी किनारा होता है। यह मानक आकार सैद्धांतिक ब्राउन मॉडल के अनुरूप है और इसलिए इसे आसानी से तैयार किया जा सकता है। हालाँकि, तटीय क्षेत्रों में, अल्टीमीटर के पदचिह्न में भूमि और अन्य तटीय सुविधाओं की उपस्थिति के कारण, संदूषण होता है और वापसी खुले समुद्र से अलग होती है। कुछ हद तक इन संदूषणों का मॉडल तैयार किया जा सकता है। सरल/अल्टिका का फुटप्रिंट आकार छोटा है जो तटीय अध्ययन के लिए आदर्श है। उपलब्ध महासागर रिट्रेकर (MLE4) ही तट के पास अच्छा प्रदर्शन दिखाता है। हालांकि, एल्गोरिदम का उपयोग करके और सुधार प्राप्त किए जा सकते हैं जो तटीय क्षेत्रों में संदूषण प्रभाव का अनुकरण कर सकते हैं। इस दस्तावेज़ में हमने altimeter से अधिकतम जानकारी निकालने के लिए 40 हर्ट्ज पर रिटर्न वेवफॉर्म के लिए विभिन्न मॉडलों का उपयोग किया है। हमारे परिणाम बताते हैं कि एल्गोरिदम जो तटीय क्षेत्रों में उपयोगी हैं, वे हैं BETA5, BETA9 और ब्राउन असममित गाऊसी पीक (BAGP) के साथ। इसके अतिरिक्त, इस तटीय उत्पाद से एक पवन ऊर्जा और तरंग ऊर्जा उत्पाद भी तैयार किया गया है।"
7,डेटासेट संपर्क,"आदित्य चौधरी, ओएसडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद 380015, aditya.osd@sac.isro.gov.in"
8,आवृत्ति अद्यतन करें,"सरल/अल्टिका के 35 चक्र संसाधित किए जा चुके हैं। इसके बाद, चक्र सटीक रिपीट मोड में नहीं होते हैं।"
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,डेटा 40 हर्ट्ज पर प्रदान किया जाता है जो लगभग 180 मीटर के स्थानिक संकल्प से मेल खाता है।
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,तटीय अल्टीमेट्री
13,कीवर्ड,"सैटेलाइट अल्टीमेट्री, वेवफॉर्म रीट्रैकिंग, समुद्र स्तर, महत्वपूर्ण लहर ऊंचाई, तरंग वर्गीकरण"
14,तिथि या अवधि,सरल/अल्टिका की साइकिल 1 से साइकिल 35 तक (मार्च 2013 से जुलाई 2016)
15,जिम्मेदार पार्टी,"आदित्य चौधरी, ओएसडी/एओजीजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,भारतीय तट पर उपग्रह ऊँचाई मापक से भूभौतिकीय मापदंडों की पुनर्प्राप्ति
16b,व्यक्तिगत नाम,"आदित्य चौधरी, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6051. ईमेल: Aditya.osd@sac.isro.gov.in"
16c,स्थान,"वैज्ञानिक/इंजीनियर, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6051. ईमेल: aditya.osd@sac.isro.gov.in"
17,भौगोलिक विस्तार,"lat_min: 05N, lat_max: 24N, lon_min: 68E, lon_max: 90E"
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",भारतीय तटीय क्षेत्र
19,डिब्बा का सीमा,"lat_min: 05N, lat_max: 24N, lon_min: 68E, lon_max: 90E"
20,अस्थायी विस्तार,मार्च 2013 से जुलाई 2016
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण सूचना,नेटसीडीएफ फॉर्मेट में ऑनलाइन डाउनलोड करें।
23,प्रसंस्करण स्तर,स्तर 3 (अल्टीमीटर एस-आईजीडीआर उत्पाद से प्राप्त डेटा उत्पाद)
24,संदर्भ प्रणाली,डेटम: WGS84
