0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,मोसडैक
3,मेटाडेटा दिनांक,"दिसंबर 12, 2017"
4,डेटा वंश या गुणवत्ता,बंगाल की खाड़ी के ऊपर एड़ी के मापदंडों का विज्ञान उत्पाद।
5,शीर्षक,अल्टीमीटर डेटा का उपयोग करके बंगाल की खाड़ी में महासागरीय एडी गतिविधियों की विशेषता
6,सार,बंगाल की खाड़ी के ऊपर महासागरीय एडी पैरामीटर जानकारी 24 वर्षों (1993 - 2016) के लिए AVISO मर्ज किए गए और ग्रिडेड सैटेलाइट अल्टीमीटर समुद्री सतह ऊंचाई (SSH) डेटा का उपयोग करके तैयार की गई थी। वर्तमान अध्ययन के लिए 0.25o के विशेष विभेदन वाले 7 दिनों के अंतराल पर SSH विसंगति का उपयोग किया गया है।
7,डेटासेट संपर्क,"एम. जिशाद, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6117. ईमेल: jishadm@sac.isro.gov.in"
8,आवृत्ति अद्यतन करें,-
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,0.25o X 0.25o
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,भौतिक समुद्र विज्ञान
13,कीवर्ड,"Altimter, sea surface height, Oceanic eddy, Bay of Bengal, Cyclonic and anti-cyclonic"
14,तिथि या अवधि,01 जनवरी 1993 से 31 दिसंबर 2016 साप्ताहिक डेटा
15,जिम्मेदार पार्टी,"जिशाद एम, रश्मि शर्मा और नीरज अग्रवाल, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,1993-2016 की अवधि के दौरान बंगाल की खाड़ी में समुद्र की सतह की ऊँचाई (SSH) के साप्ताहिक मर्ज किए गए अल्टीमीटर उत्पाद में मेसोस्केल समुद्री किनारों की पहचान की गई है और उन पर नज़र रखी गई है।
16b,व्यक्तिगत नाम,"एम. जिशाद, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6117. ईमेल: jishadm@sac.isro.gov.in"
16c,स्थान,"वैज्ञानिक/इंजीनियर, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6117. ईमेल: jishadm@sac.isro.gov.in"
16d,"लंबवत सीमा (न्यूनतम मान, अधिकतम मान, इकाईऑफ़ माप, लंबवत डेटा)","समय (समय): इकाइयाँ = ""1950-1-1 00:00:00 से दिन"": कैलेंडर = ""ग्रेगोरियन""; EddyNumber(EddyNumber): ""एड़ी की संख्या""; झंडा (ध्वज): ""1 एंटीसाइक्लोनिक के लिए और 2 साइक्लोनिक के लिए""; eddy_id (समय, एड़ी नंबर, ध्वज): ""एडी आईडी नंबर""; cent_lat (समय, एड़ीनंबर, ध्वज): एड़ी केंद्र अक्षांश: इकाइयाँ = ""डिग्री_नॉर्थ""; सेंट_लॉन (समय, एड़ीनंबर, ध्वज): एड़ी केंद्र देशांतर: इकाइयाँ = ""डिग्री_ईस्ट""; amp_ed (समय, एड़ीनंबर, ध्वज): एड़ी का आयाम: इकाइयाँ = ""सेमी""; sca_ed (समय, एड़ीनंबर, ध्वज): एड़ी का पैमाना: इकाइयाँ = ""किमी""; are_ed(time, EddyNumber, flag): एड़ी का क्षेत्रफल: इकाइयाँ = ""किमी^2"";"
17,भौगोलिक विस्तार,देशांतर: 78OE से 100O E अक्षांश: 5ON से 25O N
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",बंगाल की खाड़ी
19,डिब्बा का सीमा,देशांतर: 78OE से 100O E अक्षांश: 5ON से 25O N रिज़ॉल्यूशन: 0.25 O
20,अस्थायी विस्तार,1993-2016 (24 वर्ष) से इनपुट AVISO डेटा के आधार पर
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण सूचना,नेटसीडीएफ प्रारूप में डेटा फाइलों और जीआईएफ प्रारूप में छवियों का ऑनलाइन डाउनलोड
23,प्रसंस्करण स्तर,स्तर 4 (एब्सोल्यूट डायनेमिक टोपोग्राफी डेटा के कमजोर ग्रिड वाले मानचित्र से प्राप्त डेटा उत्पाद)
24,संदर्भ प्रणाली,प्रोजेक्शन: गोलाकार निर्देशांक
