0,1,2
Sr. No,Core Metadata Elements,Definition
1,Metadata language,English
2,Metadata Contact,MOSDAC
3,Metadata date,"December 12, 2017"
4,Data Lineage or Quality,Science product of eddy parameters over Bay of Bengal.
5,Title,Characterizing Ocean Eddy activities in the Bay of Bengal using Altimeter data
6,Abstract,The oceanic eddy parameter information over Bay of Bengal was prepared for 24 years (1993 – 2016) using AVISO merged and gridded satellite altimeter sea surface height (SSH) data. SSH anomaly at 7-day interval having special resolution of 0.25o has been used for present study.
7,Dataset Contact,"M. Jishad, OSD/AOSG/EPSA, SAC (ISRO), Ahmedabad-380015, India. Ph: +91 79 2691 6117. Email: jishadm@sac.isro.gov.in"
8,Update frequency,-
9,Access Rights or Restriction,Open Access
10,Spatial Resolution,0.25o X 0.25o
11,Language,English
12,Topic Category,Physical Oceanography
13,Keywords,"Altimter, sea surface height, Oceanic eddy, Bay of Bengal, Cyclonic and anti-cyclonic"
14,Date or period,January 01 1993 to December 31 2016 weekly data
15,Responsible Party,"Jishad M, Rashmi Sharma and Neeraj Agarwal, Space Applications Centre (ISRO), Ahmedabad-380015, India"
16,Organization,"Space Applications Centre (ISRO), Ahmedabad, India"
16a,Org. role,Mesoscale oceanic eddies have been identified and tracked in weekly merged altimeter product of Sea Surface Height (SSH) in the Bay of Bengal during the period 1993-2016.
16b,Individual name,"M. Jishad, OSD/AOSG/EPSA, SAC (ISRO), Ahmedabad-380015, India. Ph: +91 79 2691 6117. Email: jishadm@sac.isro.gov.in"
16c,Position,"Scientist/Engineer, OSD/AOSG/EPSA, SAC (ISRO), Ahmedabad-380015, India. Ph: +91 79 2691 6117. Email: jishadm@sac.isro.gov.in"
16d,"Vertical Extent (minimumValue, maximumValue, unitOfMeasure, vertical datum)","time(time): units = ""days since 1950-1-1 00:00:00"" : calendar = ""Gregorian""; EddyNumber(EddyNumber): “Number of the eddy”; flag(flag): ""1 for anticyclonic and 2 for cyclonic""; eddy_id(time, EddyNumber, flag): “eddy id number”; cent_lat(time, EddyNumber, flag): Eddy centre latitude : units = ""degree_north""; cent_lon(time, EddyNumber, flag):Eddy centre longitude : units = ""degree_east""; amp_ed(time, EddyNumber, flag):Amplitude of the eddy : units = ""cm""; sca_ed(time, EddyNumber, flag):Scale of the eddy : units = ""km""; are_ed(time, EddyNumber, flag): Area of the eddy : units = ""km^2"";"
17,Geographic Extent,Longitude: 78OE to 100O E Latitude : 5ON to 25O N
18,"Geographic name, geographic Identifier",Bay of Bengal
19,Bounding box,Longitude : 78OE to 100O E Latitude : 5ON to 25O N Resolution : 0.25 O
20,Temporal Extent,Based on input AVISO data from 1993-2016 (24 years)
21,Access Rights or Restrictions,Open Access
22,Distribution Information,Online download of data files in NetCDF format and images in GIF format
23,Processing Level,Level 4 (Data product derived from The weakly gridded map of Absolute Dynamic Topography data)
24,Reference System,Projection: Spherical coordinates
