0,1,2,3
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा,
1,मेटाडेटा भाषा,अंग्रेज़ी,
2,मेटाडेटा संपर्क,"डॉ राजेश सिखकोली, जीआरडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत। ईमेल: srajesh@sac.isro.gov.in",
3,मेटाडेटा दिनांक,15 सितंबर 2015,
4,डेटा वंश या गुणवत्ता,उपग्रह डेटा से प्राप्त दैनिक महासागरीय सतह धाराएं,
5,शीर्षक,महासागरीय सतह धारा के आंचलिक और मध्याह्न घटक (एम/एस),
6,सार,"उपग्रह से प्राप्त समुद्र तल, महासागरीय सतह वेक्टर हवाओं और समुद्र की सतह के तापमान डेटा के सहक्रियात्मक उपयोग से प्राप्त दैनिक महासागर सतह धाराएं (एम/एस)।",
7,डेटासेट संपर्क,"डॉ राजेश सिखकोली, जीआरडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत। ईमेल: srajesh@sac.isro.gov.in",
8,आवृत्ति अद्यतन करें,रोज,
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस,
10,स्थानिक संकल्प,0.25° deg (or) ~25km,
11,भाषा,अंग्रेज़ी,
12,विषय श्रेणी,भौतिक समुद्र विज्ञान,
13,कीवर्ड,"महासागरीय धाराएं, महासागरीय परिसंचरण",
14,तिथि या अवधि,रोज,
15,जिम्मेदार पार्टी,"डॉ राजेश सिखकोली, जीआरडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत। ईमेल: srajesh@sac.isro.gov.in",
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत",
16a,संगठन भूमिका,"एविसो (एसएसएएलटीओ/डीयूएसीएस यूजर हैंड बुक-2009) से एब्सोल्यूट डायनेमिक टोपोग्राफी (एमएडीटी) डेटा के दैनिक मानचित्र का उपयोग करते हुए प्रत्येक दिन के लिए परिकलित महासागर सतह धाराएं (एम/एस), एएससीएटी (बेंटामी एट अल।, 2011) से ग्रिड पवन डेटा और AVHRR से SST डेटा (रेनॉल्ड्स एट अल।, 2007)",
16b,व्यक्तिगत नाम,"डॉ राजेश सिखकोली, जीआरडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत। ईमेल: srajesh@sac.isro.gov.in",
16c,स्थान,"वैज्ञानिक/इंजीनियर, जीआरडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6052. ईमेल: srajesh@sac.isro.gov.in",
17,"लंबवत सीमा (न्यूनतम मान, अधिकतम मान, इकाईऑफ़ माप, लंबवत डेटा)",मी/से में 0 से 30 मीटर ऊर्ध्वाधर परत के लिए औसत महासागरीय सतह धारा,
18,भौगोलिक विस्तार,अक्षांश सीमा: -90 से 90 डिग्री देशांतर रेंज: 0 से 360 डिग्री,
अक्षांश सीमा: -90 से 90 डिग्री,,,
देशांतर रेंज: 0 से 360 डिग्री,,,
19,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",वैश्विक महासागर,
20,डिब्बा का सीमा,अक्षांश सीमा: -90 से 90 डिग्री देशांतर रेंज: 0 से 360 डिग्री,
अक्षांश सीमा: -90 से 90 डिग्री,,,
देशांतर रेंज: 0 से 360 डिग्री,,,
21,अस्थायी विस्तार,रोज,
22,वितरण सूचना,नेटसीडीएफ प्रारूप में डेटा फाइलों और जीआईएफ प्रारूप में छवियों का ऑनलाइन डाउनलोड,
23,प्रसंस्करण स्तर,स्तर 4,
24,संदर्भ प्रणाली,प्रोजेक्शन - कार्टेशियन को-ऑर्डिनेट सिस्टम,
