0,1,2
Sr. No,Core Metadata Elements,Definition
1,Metadata language,English
2,Metadata Contact,"Sazid Mahammad, MRG/EPSA, Space Applications Centre (ISRO), Ahmedabad-380015, India. Email: sazid@sac.isro.gov.in"
3,Metadata date,"May 14, 2018"
4,Data Lineage or Quality,"Depends on Metosat 8 products, some times some data gaps may be observed"
5,Title,Cloud Properties Products from Meteosat-8 over Indian Peninsula
6,Abstract,"NASA LaRC is operationally generating global cloud properties products using different geostationary satellites. This Metosat-8 cloud properties products include Cloud Phase, Optical Depth, Effective Water Radius, Effective Ice Diameter, Liquid Water Path, Ice Water Path, Effective Cloud Temperature, Cloud Top Height, Effective Cloud Height, Cloud Base Height, Cloud Top Pressure, Effective Cloud Pressure, Cloud Base Pressure, Broadband Albedo, Broadband Longwave Flux, and Cloud Thickness."
7,Dataset Contact,"Sazid Mahammad, MRG/EPSA, Space Applications Centre (ISRO), Ahmedabad-380015, India. Email: sazid@sac.isro.gov.in"
8,Update frequency,1 hour
9,Access Rights or Restriction,Open Access
10,Spatial Resolution,6 Km (Nominal)
11,Language,English
12,Topic Category,Atmospheric Science
13,Keywords,"Cloud Properties, Climate, cloud, cloud remote sensing, Clouds and the Earth's Radiant Energy System (CERES),"
14,Date or period,From 01-May-2018 onwards
15,Responsible Party,"EPSA/SAC, ISRO and LaRC, NASA"
16,Organization,"Space Applications Centre (ISRO), Ahmedabad, India and Langley Research Centre (NASA), Hampton, VA, USA"
16a,Org. role,SAC: Extraction of Indian region and generation of chips LaRC: Generation of Cloud Properties product
16b,Individual name,"Sazid Mahammad, MRG/EPSA, Space Applications Centre (ISRO), Ahmedabad-380015, India. Email: sazid@sac.isro.gov.in"
16c,Position,"Scientist/Engineer, MRG/EPSA, SAC (ISRO), Ahmedabad-380015, India. Email: sazid@sac.isro.gov.in"
16d,"Vertical Extent (minimumValue, maximumValue, unitOfMeasure, vertical datum)",Cloud top Properties
17,Geographic Extent,"UL Coordinates: 38 N, 65 E. UR Coordinates: 38 S, 97.5 E. LL Coordinates: 5.5 N, 65 E. LR Coordinates: 5.5 S, 97.5 E"
18,"Geographic name, geographic Identifier",Indian Peninsula
19,Bounding box,"UL Coordinates: 38 N, 65 E. UR Coordinates: 38 S, 97.5 E. LL Coordinates: 5.5 N, 65 E. LR Coordinates: 5.5 S, 97.5 E Number of Rows i.e. Image Height: 524 Number of Columns i.e. Image Width : 489"
20,Temporal Extent,"Hourly Product with Given date, time in GMT"
21,Access Rights or Restrictions,Open Access
22,Distribution Information,Online download of data files in NetCDF format and images in jpg format
23,Processing Level,Level 2 (Data product derived from Metosat-8)
24,Reference System,"Projection: Geographic Latitude,Longitude; Datum: WGS84"
