0,1,2
क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,मोसडैक
3,मेटाडेटा तिथि,"नवंबर, 2023"
4,डेटा वंश या गुणवत्ता,आईएमडी गेज समायोजित जीएसमैप_इसरो वर्षा
5,शीर्षक,जीएसमैप_इसरो वर्षा
6,Abstract,"जीएसमैप_इसरो वर्षा डेटा IMD गेज आधारित ग्रिडेड वर्षा औरएनओएए सीपीसी गेज विश्लेषण समायोजन जीएसमैप_एमवीके वर्षा उत्पाद के माध्यम से प्राप्त किया गया है। यह मार्च 2000 से आगे तक तक की अवधि को कवर करते हुए उत्कृष्ट स्थानिक-समय संकल्प के साथ उच्च गुणवत्ता वाली वर्षा की जानकारी प्रदान करता है। इसे इसरो जाक्सा कार्यान्वयन समझौते (IA) के माध्यम से विकसित किया गया है। यह उत्पाद 0.1° X 0.1° क्षैतिज संकल्प के साथ एक अक्षांश/देशांतर ग्रिड प्रदान करता है, साथ ही प्रति घंटा अस्थायी संकल्प भी प्रदान करता है।on."
6a,डेवलपर,"प्रशांत कुमार,अतुल के. वर्मा, ताकूजी कुबोटा, मोएका यामामाजी, तोमोकेओ ताशिमा, टोमोआकी मेगा, तोमू उशियो"
7,डेटासेट संपर्क,"डॉ. प्रशांत कुमार, एएसडी/एओएसजी/ईपीएसए अंतरिक्ष उपयोग केंद्र, इसरो अहमदाबाद-380015 prashant22@sac.isro.gov.in"
8,अद्यतन आवृत्ति,वैश्विक GSMaP_ISRO वर्षा के 23 वर्ष। आगे का डेटा बीच-बीच में जोड़ा जाएगा।
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,0.1 डिग्री
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,गेज समायोजित उपग्रह वर्षा
13,कीवर्ड,"GSMaP_MVK, NOAA CPC वर्षा विश्लेषण, CPC इन्फ्रारेड चमक तापमान, IMD ग्रिडेड वर्षा (0.25 डिग्री)।"
14,दिनांक या अवधि,मार्च 2000 से आगे
15,जिम्मेदार पार्टी,"डॉ. प्रशांत कुमार, एएसडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र, इसरो अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष उपयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन की भूमिका,उच्च स्थानिक-कालिक संकल्प गेज समायोजित उपग्रह वर्षा का विकास
16b,व्यक्तिगत नाम,"डॉ. प्रशांत कुमार, एएसडी/एओएसजी/ईपीएसए, अंतरिक्ष उपयोग केंद्र, इसरो अहमदाबाद-380015, भारत ईमेल: prashant22@sac.isro.gov.in"
16c,पद,वैज्ञानिक/इंजीनियर - एस.एफ.
17,भौगोलिक विस्तार,वैश्विक
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",वैश्विक
19,आकार निर्धारक बॉक्स,"lat_min: -90 , lat_max: 90, lon_min: 0, lon_max: 360"
20,लौकिक विस्तार,मार्च 2000 से आगे तक
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण जानकारी,HDF5 प्रारूप में डेटा फ़ाइलों का ऑनलाइन डाउनलोड
23,प्रसंस्करण स्तर,स्तर 3 (गेज समायोजित उपग्रह वर्षा उत्पाद)
24,संदर्भ प्रणाली,दिनांक: WGS84
