0,1,2
अनु क्रमांक,कोरमेटाडेटाएलिमेंट्स,डेफिनिशन
1,मेटाडेटाभाषा,अंग्रेजी
2,मेटाडेटासंपर्क,"साजिदमहमद, एमआरजी/ईपीएसए, अंतरिक्षअनुप्रयोगकेंद्र (इसरो), अहमदाबाद-380015, भारत।ईमेल: sazid@sac.isro.gov.in"
3,मेटाडेटादिनांक,"14 मई, 2018"
4,डेटावंशयागुणवत्ता,"मेटोसैट 8 उत्पादोंपरनिर्भरकरतीहै, कभी-कभीकुछडेटाअंतरालदेखेजासकतेहैं।"
5,शीर्षक,क्लाउडप्रॉपर्टीजप्रोडक्ट्सफ्रॉममेटियोसैट-8 ओवरइंडियनपेनिनसुला।
6,सार,"नासाएलआरसीविभिन्नभूस्थैतिकउपग्रहोंकाउपयोगकरकेवैश्विकक्लाउडगुणउत्पादोंकोसक्रियरूपसेतैयारकररहाहै।इसमेटोसैट -8 क्लाउडप्रॉपर्टीजउत्पादोंमेंक्लाउडफेज, ऑप्टिकलडेप्थ, इफेक्टिववॉटररेडियस, इफेक्टिवआइसडायमीटर, लिक्विडवॉटरपाथ, आइसवॉटरपाथ, इफेक्टिवक्लाउडटेम्परेचर, क्लाउडटॉपहाइट, इफेक्टिवक्लाउडहाइट, क्लाउडबेसहाइट, क्लाउडटॉपप्रेशर, प्रभावीक्लाउडप्रेशर, क्लाउडबेसप्रेशर, ब्रॉडबैंडएल्बेडो, ब्रॉडबैंडलॉन्गवेवफ्लक्सऔरक्लाउडथिकनेस।"
7,डेटासेटसंपर्क,"साजिदमहमद, एमआरजी/ईपीएसए, अंतरिक्षअनुप्रयोगकेंद्र (इसरो), अहमदाबाद-380015,"
8,अद्यतनआवृत्ति,1 घंटा
9,एक्सेसअधिकारयाप्रतिबंध,ओपनएक्सेस
10,स्थानिकसंकल्प,6 किमी (नाममात्र)
11,भाषा,अंग्रेजी
12,विषयश्रेणी,वायुमंडलीयविज्ञान
13,कीवर्ड,"क्लाउड प्रॉपर्टीज, क्लाइमेट, क्लाउड, क्लाउड रिमोट सेंसिंग, क्लाउड्स एंड द अर्थ्स रेडिएंट एनर्जी सिस्टम (सीईआरईएस),"
14,दिनांकयाअवधि,01-मई-2018 सेआगे
15,जिम्मेदारपार्टी,"EPSA/SAC, ISRO और LaRC, NASA"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत और लैंगली रिसर्च सेंटर (नासा), हैम्पटन, वीए, यूएसए"
16a,संगठनभूमिका,सैक: भारतीय क्षेत्र का निष्कर्षण और चिप्स का उत्पादन एलआरसी: क्लाउड प्रॉपर्टीज उत्पाद का निर्माण
16b,व्यक्तिगतनाम,"साजिद महमद, एमआरजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत। ईमेल: sazid@sac.isro.gov.in"
16c,पद,"वैज्ञानिक/इंजीनियर, एमआरजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत।ईमेल: sazid@sac.isro.gov.in"
16d,"कार्यक्षेत्रविस्तार (न्यूनतममान, अधिकतममान, UnitOfMeasure, लंबवतडेटा)",क्लाउडशीर्षगुण
17,भौगोलिकसीमा,"यूएल निर्देशांक: 38 एन, 65 ई। यूआर निर्देशांक: 38 एस, 97.5 ई। LL निर्देशांक: 5.5 N, 65 E. LR निर्देशांक: 5.5 S, 97.5 E"
18,"भौगोलिकनाम, भौगोलिकपहचानकर्ता",भारतीय प्रायद्वीप
19,बाउंडिंगबॉक्स,"UL निर्देशांक: 38 N, 65 E. UR निर्देशांक: 38 S, 97.5 E। LL निर्देशांक: 5.5 N, 65 E. LR निर्देशांक: 5.5 S, 97.5 E पंक्तियों की संख्या यानी छवि की ऊँचाई: 524 कॉलम की संख्या यानी इमेज की चौड़ाई : 489"
20,अस्थायीविस्तार,"प्रतिघंटाउत्पाददीगईतिथिकेसाथ, GMT मेंसमय"
21,एक्सेसअधिकारयाप्रतिबंध,ओपनएक्सेस
22,वितरणसूचना,नेटसीडीएफप्रारूपमेंडेटाफाइलोंऔरजेपीजीप्रारूपमेंछवियोंकाऑनलाइनडाउनलोड
23,प्रसंस्करणस्तर,स्तर 2 (मेटोसैट-8 सेप्राप्तडेटाउत्पाद)
24,संदर्भप्रणाली,"प्रक्षेपण: भौगोलिकअक्षांश, देशांतर; डेटम: WGS84"
