0,1,2
Sr. No,Core Metadata Elements,Definition
1,Metadata language,English
2,Metadata Contact,MOSDAC
3,Metadata date,"May, 2018"
4,Data Lineage or Quality,"Sea surface height anomaly, Sea surface density anomaly in Bay of Bengal using isQG methodology."
5,Title,Reconstruction of Ocean interior density and horizontal velocity anomaly ﬁelds using Satellite data in Bay of Bengal
6,Abstract,"Satellite data has been used to reconstruct ocean interior density and velocity anomalies in the Bay of Bengal through the “interior + surface Quasigeostrophic” (isQG) method. The inputs are sea surface height anomaly (AVISO), sea surface density anomaly; which is calculated using GHRSST sea surface temperature and SMAP sea surface salinity. One more input is the Brunt-Vaisala frequency, calculated from in-situ analysis system (ISAS) climatological data. The results show that isQG retrieved subsurface density anomalies are very promising compared to RAMA buoy data in the cold season when EKE is minimum. Validation of retrieved density has also been performed using ARGO data which reveals that isQG is more promising when the stratification is weak ."
7,Dataset Contact,"Anup Kumar Mandal, OSD/AOSG/EPSA, Space Applications Centre (ISRO), Ahmedabad, 380015, anupmandal@sac.isro.gov.in"
8,Update Frequency,Six months.
9,Access Rights or Restriction,Open Access
10,Spatial Resolution,"Spatial resolution is 25 km, while vertical resolution is 10m"
11,Language,English
12,Topic Category,Ocean subsurface product (SAMUDRA Project) using satellite data.
13,Keywords,"Density anomaly, Velocity anomaly, subsurface fields, 3D-Ocean fields"
14,Date or period,January 2017 - till date
15,Responsible Party,"Anup Kumar Mandal,OSD/AOGG/ EPSA, Space Applications Centre (ISRO), Ahmedabad-380015, India"
16,Organization,"Space Applications Centre (ISRO), Ahmedabad, India"
16a,Org. role,Geophysical parameters from satellite data in the Bay of Bengal region.
16b,Individual name,"Anup Kumar Mandal, OSD/AOSG/EPSA, SAC (ISRO), Ahmedabad-380015, India. Ph: +91 79 2691 6117. Email: anupmandal@sac.isro.gov.in"
16c,Position,"Scientist/Engineer, OSD/AOSG/EPSA, SAC (ISRO), Ahmedabad-380015"
16d,"Vertical Extent (minimumValue, maximumValue, unitOfMeasure, vertical datum)",Lat_min : 05N Lat_max : 25 N Lon_min: 75E Lon_max: 95 E
17,Geographic Extent,Indian Landmass
18,"Geographic name, geographic Identifier",Bay of Bengal
19,Bounding box,Lat_min : 05N Lat_max : 25 N Lon_min: 75E Lon_max: 95 E
20,Temporal Extent,January 2017 till date
21,Access Rights or Restrictions,Open Access
22,Distribution Information,Online download of data files in netCDF format
23,Processing Level,Level 4
4,Reference System,Datum: WGS84
