0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,मोसडैक
3,मेटाडेटा दिनांक,"अप्रैल, 2015"
4,डेटा वंश या गुणवत्ता,एसएमएपी एल-बैंड रेडियोमीटर डेटा का उपयोग करके प्राप्त मृदा नमी मानचित्र
5,शीर्षक,मृदा नमी सूचकांक।
6,सार,"मृदा नमी सूचकांक (एसडब्ल्यूआई) एसएमएपी एल-बैंड रेडियोमीटर डेटा का उपयोग करके समय श्रृंखला आधारित पद्धति का उपयोग करके प्राप्त किया जाता है, जो क्रमशः शुष्क और संतृप्त मिट्टी की नमी की स्थिति के अनुरूप 0 और 1 के चरम मूल्यों के लिए सामान्यीकृत होता है।"
7,डेटासेट संपर्क,"धर्मेंद्र कुमार पांडे, सस्मिता चौरसिया, ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, dkp@sac.isro.gov.in, sasmita@sac.isro.gov.in"
8,आवृत्ति अद्यतन करें,3 दिन समग्र
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,40 किमी (0.125 डिग्री पर फिर से नमूना)
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,भूमि
13,कीवर्ड,"मृदा आद्रता सूचकांक, एसएमएपी। एसडब्ल्यूआई, मृदा नमी सक्रिय निष्क्रिय"
14,तिथि या अवधि,अप्रैल 2015
15,जिम्मेदार पार्टी,"धर्मेंद्र कुमार पांडे, ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,भूभौतिकीय पैरामीटर उपग्रह से पुनर्प्राप्ति
16b,व्यक्तिगत नाम,"धर्मेंद्र कुमार पांडेयप्सा, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 4005. ईमेल: dkp@sac.isro.gov.in"
16c,स्थान,"वैज्ञानिक/इंजीनियर, ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 4005. ईमेल: dkp@sac.isro.gov.in"
17,भौगोलिक विस्तार,भारतीय भूमि मुखौटा
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",भारतीय क्षेत्र
19,डिब्बा का सीमा,"lat_min: 05N, lat_max: 24N, lon_min: 68E, lon_max: 90E"
20,अस्थायी विस्तार,अप्रैल 2015 के बाद
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण सूचना,जियोटीफ प्रारूप में ऑनलाइन डाउनलोड करें।
23,प्रसंस्करण स्तर,लेवल 2
24,संदर्भ प्रणाली,Datum: WGS84
