0,1,2
Sr. No,मेटाडेटाएलिमेंट्स,डेफिनिशन
1,मेटाडेटा भाषा,अंग्रेजी
2,मेटाडेटासंपर्क,मोस्डैक
3,मेटाडेटा भाषा,जून 2018
4,डेटावंशयागुणवत्ता,वर्षादर
5,शीर्षक,बायेसियनआधारितएमटी-सफीरवर्षा
6,सार,"मेघा- ट्रॉपिक्स (एमटी) एक संयुक्त भारत-फ्रांस सहयोगी उपग्रह मिशन है, जिसे 12 अक्टूबर 2011 को लॉन्च किया गया था। एमटी का मुख्य उद्देश्य उष्णकटिबंधीय क्षेत्र में संवहनी प्रणाली, ऊर्जा विनिमय और जल चक्र पर अधिक समझ प्राप्त करना है। यह माइक्रोवेव एनालिसिस एंड डिटेक्शन ऑफ रेन एंड एटमॉस्फेरिक स्ट्रक्चर्स (मद्रास) (ऑपरेशनल में नहीं), रेडिएशन बजट के लिए स्कैनर और एटमॉस्फियर के लिए रेडियो ऑकल्टेशन सेंसर और सोंड्यूर एटमॉस्फेरिक डू प्रोफिल डी ह्यूमिडाइट इंटरट्रॉपिकल पैरा रेडियोमेट्री (SAPHIR) से लैस है। SAPHIR 6-चैनलों पर 183.31GHz जल वाष्प अनुनाद के पास स्पष्ट आकाश वायुमंडलीय आर्द्रता प्रोफाइल प्रदान करता है। SAPHIR के अवलोकन 183.31GHz चैनलों का उपयोग करके वर्षा का अनुमान लगाने का अवसर प्रदान करते हैं। SAPHIR चैनल -6 (183.31 ± 11GHz) चमक तापमान अवलोकन का उपयोग करके एक बायेसियन आधारित वर्षा पुनर्प्राप्ति तकनीक विकसित की गई है। जनवरी-दिसंबर 2017 के दौरान अनुमानित वर्षा को IMERG और DPR उत्पादों के साथ मान्य किया गया है। वर्षा पैटर्न के वैश्विक वितरण को अनुमान द्वारा अच्छी तरह से पकड़ लिया गया है।"
7,डेटासेटसंपर्क,"नीरजा शर्मा और कौशिक गोपालन, जीआरडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, 380015, kaushikg@sac.isro.gov.in"
8,अद्यतनआवृत्ति,जनवरी 2017 से मई 2018 तक संसाधित की गई है। डेटा प्रतिदिन ~24 घंटे के अंतराल के साथ अपडेट किया जाएगा।
9,एक्सेसअधिकारयाप्रतिबंध,ओपनएक्सेस
10,स्थानिकसंकल्प,डेटा SAPHIR उपकरणकेमूलस्थानिकसंकल्पपरप्रदानकियाजाताहै।
11,भाषा,अंग्रेजी
12,विषयश्रेणी,वर्षा
13,कीवर्ड,"माइक्रोवेवसाउंडर, बायेसियनतकनीक, वर्षा"
14,तारीखयाअवधि,जनवरी 2017 सेआगे।
15,जिम्मेदारपार्टी,"पार्टी नीरजा शर्मा और कौशिक गोपालन, जीआरडी/एओजीजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्षअनुप्रयोगकेंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठनभूमिका,"अंतरिक्षअनुप्रयोगकेंद्र (इसरो), अहमदाबाद, भारत"
16b,व्यक्तिगत नाम,"नीरजा शर्मा, जीआरडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन:+91 79 26916115. ईमेल:नीरजशर्मा@sac.isro.gov.in कौशिकगोपालन, जीआरडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत।फोन: +91 79 2691 6110. ईमेल: kaushikg@sac.isro.gov.in"
16c,पद,"वैज्ञानिक/इंजीनियर, जीआरडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015"
16d,"लंबवतसीमा (न्यूनतममान, अधिकतममान, इकाईऑफ़माप, लंबवतडेटा)",लागू नहीं
17,भौगोलिकविस्तार,उष्णकटिबंधीयक्षेत्र (28S से 28N)
18,"भौगोलिकनाम, भौगोलिकपहचानकर्ता","lat_min: 28S, lat_max: 28N, lon_min: 0, lon_max: 360"
19,बाउंडिंगबॉक्स,"lat_min: 28S, lat_max: 28N, lon_min: 0, lon_max: 360"
20,अस्थायीविस्तार,जनवरी 2017 से आगे
21,एक्सेसअधिकारयाप्रतिबंध,ओपन एक्सेस
22,वितरणजानकारी,HDF5 प्रारूपमेंडेटाफ़ाइलोंकाऑनलाइनडाउनलोड
23,प्रसंस्करण,स्तर 2 (एमटी SAPHIR सेप्राप्तडेटाउत्पाद)
24,संदर्भप्रणाली,Datum: WGS84
