0,1,2
Sr. No,Core Metadata Elements,Definition
1,Metadata language,English
2,Metadata Contact,MOSDAC
3,Metadata date,"August 3rd ,2015"
4,Data Lineage,Wave power in Kilowatt/meter from Altimeters over Indian Ocean Region
5,Title,Altimeters for Wave based Renewable Energy (AWARE)
6,Abstract,The wave power is computed from the altimeters (Jason-2 and SARAL/AltiKa) for a period of 2008-2014 at a monthly basis for individual years. Climatology is also prepared in this regard for the Indian Ocean Region.
7,Dataset Contact,"Dr Suchandra A. Bhowmick,Space Applications Centre, ISRO, Ahmedabad-380058,INDIA Email: suchandra@sac.isro.gov.in n"
"Dr Suchandra A. Bhowmick,Space Applications Centre, ISRO, Ahmedabad-380058,INDIA",,
Email: suchandra@sac.isro.gov.in,,
8,Update frequency,Yearly Once
9,Access Rights or Restriction,Open Access
10,Spatial Resolution,
11,Language,English
12,Topic Category,Water power estimates
13,Keywords,"Wave power, non-conventional energy, wave period and Significant Wave Height"
14,Data period,2008-2014
15,Responsible Party,"Dr. Suchandra A. Bhowmick,Space Applications Centre, ISRO, Ahmedabad-380058,INDIA"
16,Organization,"Space Applications Centre (ISRO), Ahmedabad, India"
16a,Org. role,Estimation of non-conventional wave energy using active microwave remote sensing instruments
16b,Unit,Kilowatt/meter
