0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,मोसडैक
3,मेटाडेटा दिनांक,"मई, 2018"
4,डेटा वंश या गुणवत्ता,"समुद्र की सतह की ऊंचाई की विसंगति, आईएसक्यूजी पद्धति का उपयोग करके बंगाल की खाड़ी में समुद्री सतह घनत्व विसंगति।"
5,शीर्षक,बंगाल की खाड़ी में उपग्रह डेटा का उपयोग करते हुए महासागर के आंतरिक घनत्व और क्षैतिज वेग विसंगति का पुनर्निर्माण
6,सार,"बंगाल की खाड़ी में समुद्री आंतरिक घनत्व और वेग विसंगतियों को ""आंतरिक + सतह क्वासिजोस्ट्रोफिक"" (आईएसक्यूजी) विधि के माध्यम से फिर से संगठित करने के लिए उपग्रह डेटा का उपयोग किया गया है। इनपुट समुद्र की सतह की ऊंचाई विसंगति (एवीआईएसओ), समुद्र की सतह घनत्व विसंगति हैं; जिसकी गणना GHRSST समुद्री सतह के तापमान और SMAP समुद्री सतह लवणता का उपयोग करके की जाती है। एक और इनपुट ब्रंट-वैसाला आवृत्ति है, जिसकी गणना इन-सीटू विश्लेषण प्रणाली (आईएसएएस) जलवायु डेटा से की जाती है। परिणाम बताते हैं कि ठंड के मौसम में जब EKE न्यूनतम होता है, तो RAMA बॉय डेटा की तुलना में isQG पुनर्प्राप्त उपसतह घनत्व विसंगतियां बहुत आशाजनक हैं। पुनर्प्राप्त घनत्व का सत्यापन भी ARGO डेटा का उपयोग करके किया गया है जिससे पता चलता है कि स्तरीकरण कमजोर होने पर isQG अधिक आशाजनक है।"
7,डेटासेट संपर्क,"अनूप कुमार मंडल, ओएसडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, 380015, anupmandal@sac.isro.gov.in"
8,आवृत्ति अद्यतन करें,छह महीने।
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,"स्थानिक संकल्प 25 किमी है, जबकि लंबवत संकल्प 10m . है"
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,उपग्रह डेटा का उपयोग करते हुए महासागर उपसतह उत्पाद (समुद्र परियोजना)।
13,कीवर्ड,"घनत्व विसंगति, वेग विसंगति, उपसतह क्षेत्र, 3D-महासागर क्षेत्र"
14,तिथि या अवधि,जनवरी 2017 - अब तक
15,जिम्मेदार पार्टी,"अनूप कुमार मंडल, ओएसडी/एओजीजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,बंगाल की खाड़ी क्षेत्र में उपग्रह डेटा से भूभौतिकीय पैरामीटर।
16b,व्यक्तिगत नाम,"अनूप कुमार मंडल, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6117. ईमेल: anupmandal@sac.isro.gov.in"
16c,स्थान,"वैज्ञानिक/इंजीनियर, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015"
16d,"लंबवत सीमा (न्यूनतम मान, अधिकतम मान, इकाईऑफ़ माप, लंबवत डेटा)",Lat_min : 05N Lat_max : 25 N Lon_min: 75E Lon_max: 95 E
17,भौगोलिक विस्तार,भारतीय भूभाग
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",बंगाल की खाड़ी
19,डिब्बा का सीमा,अक्षांश_मिनट: 05एन अक्षांश_अधिकतम: 25 एन लोन_मिनट: 75ई लोन_मैक्स: 95 ई
20,अस्थायी विस्तार,जनवरी 2017 से अब तक
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण सूचना,नेटसीडीएफ प्रारूप में डेटा फाइलों का ऑनलाइन डाउनलोड
23,प्रसंस्करण स्तर,स्तर 4
24,संदर्भ प्रणाली,डेटम: WGS84
