0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,मोसडैक
3,मेटाडेटा दिनांक,"मई, 2018"
4,डेटा वंश या गुणवत्ता,TERLS DWR . से 3डी वॉल्यूमेट्रिक ग्रिडेड रडार परावर्तन और रेडियल वेग
5,शीर्षक,टर्ल्स डीडब्ल्यूआर डेटा और वॉल्यूमेट्रिक ग्रिडिंग का पोस्ट प्रोसेसिंग
6,सार,"TERLS DWR डेटा को हाइड्रोलॉजिकल और न्यूमेरिकल वेदर प्रेडिक्शन मॉडल में उनके आवेदन से पहले अव्यवस्था और वेग फोल्डिंग के लिए सही करने के लिए संसाधित किया गया है। एक स्थानिक निरंतरता फिल्टर और एक अस्पष्ट-तर्क आधारित इको वर्गीकरण एल्गोरिथ्म के संयोजन का उपयोग करके अव्यवस्था के लिए रडार परावर्तनता को ठीक किया गया है। वेलोसिटी फोल्डेड क्षेत्रों को 2डी मल्टीपास वेलोसिटी डीलिंग एल्गोरिथम का उपयोग करके डील किया जाता है। सही परावर्तन और रेडियल वेग को फिर 1 किमी x 1 किमी x 250 मीटर 3 डी वॉल्यूमेट्रिक ग्रिड में ग्रिड किया जाता है जिसका उपयोग वैज्ञानिकों द्वारा आगे मौसम संबंधी अनुप्रयोगों के लिए किया जा सकता है। यह डेटा टीडीपी/आर एंड डी परियोजना ""डॉपलर मौसम रडार का उपयोग करके तूफान ट्रैकिंग और भविष्यवाणी"" के तहत तैयार किया गया था।"
7,डेटासेट संपर्क,"संबित कुमार पांडा, ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015"
8,आवृत्ति अद्यतन करें,3 महीने
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,"स्थानिक संकल्प 1 किमी है, जबकि लंबवत संकल्प 250 मीटर है।"
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,डॉपलर मौसम रडार डेटा अनुप्रयोग
13,कीवर्ड,"डॉपलर मौसम रडार, परावर्तन, रेडियल वेग, अवनति, डीलियासिंग"
14,तिथि या अवधि,"मई 1-31, 2018।"
15,जिम्मेदार पार्टी,"संबित कुमार पांडा, बिपाशा पॉल शुक्ला, एएसडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,डॉपलर वेदर रडार डेटा का पोस्ट प्रोसेसिंग और हाइड्रोलॉजिकल और न्यूमेरिकल वेदर प्रेडिक्शन मॉडल के लिए इसका अनुप्रयोग
16b,व्यक्तिगत नाम,"संबित कुमार पांडा, एएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6117/6104। ईमेल: sambit@sac.isro.gov.in"
16c,स्थान,"वैज्ञानिक/इंजीनियर-एससी, एएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 792691 6117/6104। ईमेल: sambit@sac.isro.gov.in"
17,Geographic Extent,lat_min: 06N lat_max: 11N lon_min: 74E lon_max: 79E
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता","टर्ल्स, त्रिवेंद्रम।"
19,डिब्बा का सीमा,lat_min: 06N lat_max: 11N lon_min: 74E lon_max: 79E
20,अस्थायी विस्तार,"मई1-31, 2018।"
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण सूचना,"नेटसीडीएफ प्रारूप में ऑनलाइन डाउनलोड और दैनिक संग्रहीत डेटा की पीएनजी फाइलें ("".tar.gz"" संपीड़ित फाइलें)।"
23,प्रसंस्करण स्तर,लेवल 2
24,संदर्भ प्रणाली,Datum: WGS84
