0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,"डी. राम रजक, ओएसडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत। ईमेल: rajakdr@sac.isro.gov.in"
3,मेटाडेटा दिनांक,"मार्च 05, 2015"
4,डेटा वंश या गुणवत्ता,अंटार्कटिक पर उपलब्ध पहली बार समुद्री बर्फ की घटना की संभावना डेटा
5,शीर्षक,अंटार्कटिक (SIOP36) पर समुद्री बर्फ की घटना की संभावना डेटा।
6,सार,"1 जनवरी से 31 दिसंबर तक प्रत्येक दिन के लिए अंटार्कटिक समुद्री बर्फ घटना संभावना (एसआईओपी) एनएसआईडीसी समुद्री बर्फ एकाग्रता डेटा (कॉमिसो, 2000) से उत्पन्न होती है जिसे एनएसआईडीसी साइट से डाउनलोड किया गया था: (http://nsidc.org/data/docs) /daac/nsidc0051_gsfc_seaice.gd.html)। 36 वर्षों (अक्टूबर 1978 से दिसंबर 2014) के SIOP डेटा को SIOP36 . के रूप में नामित किया गया है"
7,डेटासेट संपर्क,"डी. राम रजक, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6051. ईमेल: rajakdr@sac.isro.gov.in"
8,आवृत्ति अद्यतन करें,3 वर्ष
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,25 000 m
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,ध्रुवीय विज्ञान
13,कीवर्ड,"समुद्री बर्फ, संभाव्यता, अंटार्कटिक"
14,तिथि या अवधि,जनवरी 01 से दिसंबर 31 समुद्री बर्फ की घटना दैनिक संभावना अक्टूबर 1978 से दिसंबर 2014 के आंकड़ों की गणना की गई
15,जिम्मेदार पार्टी,"डी. राम रजक, आर.के. कमलजीत सिंह, जयप्रसाद पी., संदीप आर. ओझा, रश्मि शर्मा, और राजकुमार, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,"एनएसआईडीसी समुद्री बर्फ सांद्रता डेटा (कॉमिसो, 2000) का उपयोग करके 1 जनवरी से 31 दिसंबर तक प्रत्येक दिन के लिए परिकलित समुद्री बर्फ घटना संभावना (एसआईओपी)। अधिक विवरण रजक एट अल, 2015 में उपलब्ध हैं"
16b,व्यक्तिगत नाम,"डी. राम रजक, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6051. ईमेल: rajakdr@sac.isro.gov.in"
16c,स्थान,"वैज्ञानिक/इंजीनियर, ओएसडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6051. ईमेल: rajakdr@sac.isro.gov.in"
16d,"लंबवत सीमा (न्यूनतम मान, अधिकतम मान, इकाईऑफ़ माप, लंबवत डेटा)",प्रतिशत में संभावना। न्यूनतम मूल्य = 0.0294%। अधिकतम मूल्य = 100.0%। मुखौटा: अंटार्कटिका भूमि/बर्फ और खुले समुद्र का पानी (मान = 0.0)
17,भौगोलिक विस्तार,"उल निर्देशांक: 40S, 42W। यूआर निर्देशांक: 40S, 42E। एलएल निर्देशांक: 42S, 135W। LR निर्देशांक: 42S, 135E"
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",अंटार्कटिका के आसपास का महासागर
19,डिब्बा का सीमा,"उल निर्देशांक: 40S, 42W। यूआर निर्देशांक: 40S, 42E। एलएल निर्देशांक: 42S, 135W। LR निर्देशांक: 42S, 135E। कॉलम की संख्या मैं। इ। छवि चौड़ाई: 316 पिक्सेल। पंक्तियों की संख्या यानी छवि की ऊँचाई: 332 पिक्सेल"
20,अस्थायी विस्तार,इनपुट के आधार पर एनएसआईडीसी सी आइस कंसंट्रेशन डेटा अक्टूबर 1978 से दिसंबर 2014
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण सूचना,"बाइनरी, जियो टीआईएफएफ और पीएनजी प्रारूपों में ऑनलाइन डाउनलोड। फ्लोट प्रारूप में बाइनरी और जियो टीआईएफएफ डेटा"
23,प्रसंस्करण स्तर,स्तर 4 (समुद्री बर्फ सांद्रता उत्पाद से प्राप्त डेटा उत्पाद)
24,संदर्भ प्रणाली,"प्रोजेक्शन: ध्रुवीय स्टीरियोग्राफिक (0.0 ई, 70.0 एस, 0.0 मीटर, 0.0 मीटर)। डेटम: WGS84"
