0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,मोसडैक
3,मेटाडेटा दिनांक,3 अगस्त 2015
4,डेटा वंश,हिंद महासागर क्षेत्र में अल्टीमीटर से किलोवाट/मीटर में तरंग शक्ति
5,शीर्षक,तरंग आधारित अक्षय ऊर्जा के लिए अल्टीमीटर (जागरूक)
6,सार,तरंग शक्ति की गणना व्यक्तिगत वर्षों के लिए मासिक आधार पर 2008-2014 की अवधि के लिए altimeters (जेसन -2 और सरल/अल्टिका) से की जाती है। हिंद महासागर क्षेत्र के लिए इस संबंध में जलवायु विज्ञान भी तैयार किया गया है।
7,डेटासेट संपर्क,"डॉ सुचंद्र ए. भौमिक, अंतरिक्ष अनुप्रयोग केंद्र, इसरो, अहमदाबाद-380058, भारत ईमेल: सुचंद्रा@sac.isro.gov.in"
"डॉ सुचंद्र ए. भौमिक, अंतरिक्ष अनुप्रयोग केंद्र, इसरो, अहमदाबाद-380058, भारत",,
ईमेल: सुचंद्रा@sac.isro.gov.in,,
8,Update frequency,वार्षिक एक बार
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,एन ए
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,जल शक्ति अनुमान
13,कीवर्ड,"तरंग शक्ति, गैर-पारंपरिक ऊर्जा, तरंग अवधि और महत्वपूर्ण तरंग ऊंचाई"
14,डेटा अवधि,2008-2014
15,जिम्मेदार पार्टी,"डॉ. सुचंद्र ए. भौमिक, अंतरिक्ष अनुप्रयोग केंद्र, इसरो, अहमदाबाद-380058, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,सक्रिय माइक्रोवेव रिमोट सेंसिंग उपकरणों का उपयोग करके गैर-पारंपरिक तरंग ऊर्जा का आकलन
16b,इकाई,किलोवाट/मीटर
