0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेजी
2,मेटाडेटा संपर्क,मोस्डैक
3,मेटाडेटा दिनांक,20 जुलाई 2015
4,डेटा वंश या गुणवत्ता,राडार अल्टीमीटर का उपयोग करके गोदावरी के ऊपर नदी के निर्वहन की जल ऊंचाई का अनुमान और गणना
5,शीर्षक,2002-2015 के दौरान गोदावरी नदी के ऊपर सैटेलाइट अल्टीमेट्री व्युत्पन्न डिस्चार्ज
6,सार,दो स्थलों पर एनविसैट और सरल/अल्टिका का उपयोग करके और गोदावरी नदी के साथ एक साइट पर जेसन-2 का उपयोग करके नदी की ऊंचाई और नदी के निर्वहन का अनुमान लगाया गया है। इन-सीटू डेटा के साथ परिणाम अच्छी तरह से मान्य हैं।
7,डेटासेट संपर्क,"डॉ. रश्मि शर्मा ओएसडी/एओएसजी/ईपीएसए (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6044. ईमेल: Rashmi@sac.isro.gov.in"
8,आवृत्ति अद्यतन करें,SARAL/AltiKa और ENVISAT 35 दिनों में हैं और जेसन-2 10 दिन की पुनरावृत्ति अवधि
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,एन ए
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,जल की ऊँचाई का आकलन और नदी के बहाव का अनुमान
13,कीवर्ड,"नदी, उपग्रह altimeters, नदी की ऊंचाई, सीमा सुधार, रेटिंग वक्र"
14,तिथि या अवधि,"एनविसैट (जून 2002 से सितंबर 2010), जेसन-2 (जुलाई 2008 से दिसंबर 2014) और सरल/अल्टिका (मार्च 2013)"
15,जिम्मेदार पार्टी,"डॉ. रश्मि शर्मा ओएसडी/एओएसजी/ईपीएसए (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6044. ईमेल: Rashmi@sac.isro.gov.in"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,सुदूर संवेदन तकनीकों का उपयोग करते हुए नदी निर्वहन का अनुमान
16b,"लंबवत सीमा (न्यूनतम मान, अधिकतम मान, इकाईऑफ़ माप, लंबवत डेटा)",माप की इकाई = नदी की ऊंचाई के लिए मीटर और नदी के निर्वहन के लिए m3/s डेटा: WGS84
17,भौगोलिक विस्तार,"UL Coordinates: 19N, 80.5E UR Coordinates: 19N, 82.5E LL Coordinates: 16N, 80.5E LR Coordinates: 16N, 82.5E"
"UL Coordinates: 19N, 80.5E",,
"UR Coordinates: 19N, 82.5E",,
"LL Coordinates: 16N, 80.5E",,
"LR Coordinates: 16N, 82.5E",,
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",गोदावरी नदी
19,डिब्बा का सीमा,"UL Coordinates: 19N, 80.5E UR Coordinates: 19N, 82.5E LL Coordinates: 16N, 80.5E LR Coordinates: 16N, 82.5E"
"UL Coordinates: 19N, 80.5E",,
"UR Coordinates: 19N, 82.5E",,
"LL Coordinates: 16N, 80.5E",,
"LR Coordinates: 16N, 82.5E",,
20,अस्थायी विस्तार,2002 के बाद से गोदावरी नदी पर पानी की ऊंचाई और नदी के निर्वहन की टाइम सीरीज़ प्लॉट।
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण सूचना,.txt प्रारूप में ऑनलाइन डाउनलोड करें
23,प्रसंस्करण स्तर,स्तर 3 (अल्टीमीटर जीडीआर डेटा से प्राप्त डेटा उत्पाद)
24,संदर्भ प्रणाली,Datum: WGS84
