0,1,2
एस. आर. नंबर,मुख्य मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अँग्रेजी
2,मेटाडेटा संपर्क,मोस्डेक
3,मेटाडेटा तिथि,"अप्रैल, 2015"
4,डेटा वंशावली या गुणवत्ता,लैग्रेन्जियन तकनीक का उपयोग करते हुए बंगाल की खाड़ी में उच्च रिज़ॉल्यूशन वाली समुद्री सतह लवणता।.
5,शीर्षक,बंगाल की खाड़ी के लिए उपग्रह समुद्र की सतह की लवणता में गतिशील गिरावट
6,अमूर्त,"लैग्रेन्जियन तकनीक का उपयोग बंगाल की खाड़ी में उच्च-रिज़ॉल्यूशन वाले समुद्री सतह लवणता क्षेत्रों को उत्पन्न करने के लिए किया जाता है. यह मिट्टी की नमी सक्रिय निष्क्रिय (स्मैप) उपग्रह से प्राप्त समुद्री सतह लवणता (एस. एस. एस.) डेटा के उपयोग के माध्यम से प्राप्त किया जाता है, समुद्र की सतह की धाराओं के संयोजन के साथ जो ऊंचाई से प्राप्त होते हैं. ऊंचाई से प्राप्त भूस्थैतिक धाराओं का उपयोग करके स्मैप एस. एस. एस. क्षेत्रों के संख्यात्मक विकास के लिए आगे और पीछे की योजनाओं को नियोजित करके, एक लैग्रेन्जियन पुनर्निर्माण का उत्पादन किया जाता है, जो छोटे पैमाने की विशेषताओं को पकड़ता है. हमारे घर में विकसित एल्गोरिदम की विश्वसनीयता का मूल्यांकन खाड़ी की धारा में उपलब्ध पुनर्निर्मित उत्पाद के साथ तुलना करके किया जाता है. इसके अलावा, थर्मो-सैलिनोग्राफ से प्राप्त इंसिटू डेटा के खिलाफ एक प्रारंभिक सत्यापन किया जाता है. आगे, विकसित एल्गोरिदम को गतिशील रूप से समय का चयन करने के लिए संशोधित किया गया था।"
7,डेटासेट संपर्क,"जय कुमार, पॉड/एओएसजी/एप्सा, अंतरिक्ष अनुप्रयोग केंद्र (आईएसआरओ), अहमदाबाद, 380015, kumarj@sac.isro.gov.in"
8,आवृत्ति अद्यतन करें,छह महीने.
9,पहुँच अधिकार या प्रतिबंध,खुली पहुँच
10,स्थानिक संकल्प,स्थानिक संकल्प 10 कि. मी. है।
11,भाषा,अँग्रेजी
12,विषय श्रेणी,उपग्रह डेटा का उपयोग करते हुए उच्च रिज़ॉल्यूशन समुद्री सतह लवणता उत्पाद (एस. ए. सी.-टी. डी. पी.)।
13,मुख्य शब्द,"समुद्र की सतह की लवणता, समुद्र की सतह की धाराएँ, लैग्रैन्जियन एडवेक्शन तकनीक, उच्च रिज़ॉल्यूशन"
14,तिथि या अवधि,अप्रैल 2015-जून 2023
15,जिम्मेदार पार्टी,"जय कुमार, पॉड/एओजी/एप्सा, अंतरिक्ष अनुप्रयोग केंद्र (आईएसआरओ), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (आई. एस. आर. ओ.), अहमदाबाद, भारत"
16a,ओ. आर. जी.. भूमिका,बंगाल की खाड़ी क्षेत्र में उपग्रह डेटा से भूभौतिकीय मापदंड.
16b,व्यक्तिगत नाम,"जय कुमार, पॉड/एओएसजी/एप्सा, अंतरिक्ष अनुप्रयोग केंद्र (आईएसआरओ), अहमदाबाद, 380015, kumarj@sac.isro.gov.in"
16c,स्थिति,"वैज्ञानिक/इंजीनियर, पॉड/ए. ओ. एस. जी./ई. पी. एस. ए., एस. ए. सी. (आई. एस. आर. ओ.), अहमदाबाद-380015"
16d,"ऊर्ध्वाधर सीमा (न्यूनतम मूल्य, अधिकतम मूल्य, एकक माप, ऊर्ध्वाधर डेटम)","लैट _ मिनः 0एन, लैट _ मैक्सः 25एन, लोन _ मिनः 78ई, लोन _ मैक्सः 100ई"
17,भौगोलिक विस्तार,भारतीय भूभाग
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",बंगाल की खाड़ी
19,बाउंडिंग बॉक्स,"लैट _ मिनः 0एन, लैट _ मैक्सः 25एन, लोन _ मिनः 78ई, लोन _ मैक्सः 100ई"
20,अस्थायी सीमा,अप्रैल 2015-जून 2023
21,पहुँच अधिकार या प्रतिबंध,खुली पहुँच
22,वितरण की जानकारी,नेटसीडीएफ प्रारूप में डेटा फाइलों का ऑनलाइन डाउनलोड
23,प्रसंस्करण स्तर,स्तर 4
24,संदर्भ प्रणाली,तारीखः डब्ल्यूजीएस84
